star_age  Teff  log_g  feh  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   5.018599E+04   8.556819E+03   2.742360E+00  -1.274053E+00    8.175608E+00   5.367310E-04   8.957391E-02  -3.279638E+00  -3.383223E+00  -3.430255E+00  -3.491994E+00  -3.322879E+00  -3.115885E+00  -3.286856E+00
   5.187734E+04   8.779667E+03   2.776757E+00  -1.274053E+00    8.149818E+00   5.496332E-04   8.755782E-02  -3.284916E+00  -3.352706E+00  -3.384949E+00  -3.431589E+00  -3.303116E+00  -3.160777E+00  -3.277595E+00
   5.369282E+04   9.022565E+03   2.813094E+00  -1.274053E+00    8.122003E+00   5.638955E-04   8.408361E-02  -3.283061E+00  -3.318041E+00  -3.336164E+00  -3.368336E+00  -3.279279E+00  -3.205817E+00  -3.262798E+00
   5.535579E+04   9.249382E+03   2.845588E+00  -1.274053E+00    8.095192E+00   5.779939E-04   8.140139E-02  -3.276783E+00  -3.286120E+00  -3.292360E+00  -3.312609E+00  -3.256616E+00  -3.245414E+00  -3.246855E+00
   5.695455E+04   9.470512E+03   2.876356E+00  -1.274053E+00    8.069401E+00   5.918882E-04   7.927404E-02  -3.266760E+00  -3.254789E+00  -3.250128E+00  -3.260067E+00  -3.233025E+00  -3.281290E+00  -3.228442E+00
   5.852884E+04   9.690905E+03   2.906306E+00  -1.274053E+00    8.044342E+00   6.057077E-04   7.762226E-02  -3.253565E+00  -3.222777E+00  -3.208367E+00  -3.208811E+00  -3.208399E+00  -3.312258E+00  -3.208227E+00
   6.033958E+04   9.946223E+03   2.940706E+00  -1.274053E+00    8.017456E+00   6.208941E-04   7.625241E-02  -3.234179E+00  -3.183613E+00  -3.159101E+00  -3.149262E+00  -3.177505E+00  -3.340976E+00  -3.181913E+00
   6.229548E+04   1.022486E+04   2.977539E+00  -1.274053E+00    7.989653E+00   6.369990E-04   7.545152E-02  -3.210136E+00  -3.139901E+00  -3.105359E+00  -3.084942E+00  -3.142271E+00  -3.366216E+00  -3.151179E+00
   6.407368E+04   1.048193E+04   3.010354E+00  -1.274053E+00    7.963943E+00   6.522633E-04   7.534520E-02  -3.187560E+00  -3.100302E+00  -3.057340E+00  -3.027626E+00  -3.110186E+00  -3.386059E+00  -3.123020E+00
   6.578110E+04   1.073097E+04   3.041493E+00  -1.274053E+00    7.939905E+00   6.668654E-04   7.577265E-02  -3.164624E+00  -3.061883E+00  -3.011352E+00  -2.973118E+00  -3.078662E+00  -3.402181E+00  -3.095039E+00
