star_age  Teff  log_g  metallicity  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   1.216699E+03   4.209671E+03   1.402269E+00   0.000000E+00    7.907306E+00   6.871915E-04   1.956535E-02  -1.539964E+00  -4.393553E+00  -5.158495E+00  -5.928369E+00  -3.761706E+00   1.000330E-01  -2.886079E+00
   1.368322E+03   4.232230E+03   1.437084E+00   0.000000E+00    7.971103E+00   6.479759E-04   1.258892E-02  -1.513014E+00  -4.332225E+00  -5.088807E+00  -5.849879E+00  -3.709727E+00   8.389163E-02  -2.844371E+00
   1.530709E+03   4.254591E+03   1.470956E+00   0.000000E+00    8.032835E+00   6.121617E-04   5.809705E-03  -1.487013E+00  -4.272844E+00  -5.021136E+00  -5.773558E+00  -3.659292E+00   6.719631E-02  -2.803881E+00
   1.707130E+03   4.276403E+03   1.504418E+00   0.000000E+00    8.094239E+00   5.785015E-04   1.050276E-03  -1.459146E+00  -4.213742E+00  -4.954027E+00  -5.697991E+00  -3.608418E+00   5.620838E-02  -2.762409E+00
   1.918834E+03   4.300495E+03   1.540720E+00   0.000000E+00    8.160586E+00   5.442087E-04   8.216094E-03  -1.428286E+00  -4.149950E+00  -4.881543E+00  -5.616081E+00  -3.553144E+00   4.722034E-02  -2.717174E+00
   2.140725E+03   4.323306E+03   1.575197E+00   0.000000E+00    8.223819E+00   5.134195E-04   1.512175E-02  -1.397588E+00  -4.089081E+00  -4.812588E+00  -5.538215E+00  -3.499879E+00   4.139815E-02  -2.673128E+00
   2.355459E+03   4.343244E+03   1.605722E+00   0.000000E+00    8.280176E+00   4.874497E-04   2.123920E-02  -1.369020E+00  -4.034712E+00  -4.751261E+00  -5.469153E+00  -3.451844E+00   3.853444E-02  -2.632964E+00
   2.601177E+03   4.364544E+03   1.637660E+00   0.000000E+00    8.338811E+00   4.618228E-04   2.764196E-02  -1.339435E+00  -3.978111E+00  -4.687333E+00  -5.396991E+00  -3.401742E+00   3.526987E-02  -2.591105E+00
   2.896039E+03   4.387405E+03   1.672434E+00   0.000000E+00    8.403096E+00   4.352729E-04   3.457168E-02  -1.305801E+00  -3.915873E+00  -4.617345E+00  -5.318271E+00  -3.346217E+00   3.408229E-02  -2.544274E+00
   3.212010E+03   4.409772E+03   1.706263E+00   0.000000E+00    8.465617E+00   4.109163E-04   4.129823E-02  -1.272773E+00  -3.855206E+00  -4.549200E+00  -5.241679E+00  -3.291904E+00   3.358748E-02  -2.498341E+00
   3.555069E+03   4.432197E+03   1.739665E+00   0.000000E+00    8.527110E+00   3.882898E-04   4.795515E-02  -1.240422E+00  -3.795402E+00  -4.481996E+00  -5.166108E+00  -3.238316E+00   3.277622E-02  -2.453051E+00
   3.966741E+03   4.455928E+03   1.775860E+00   0.000000E+00    8.594406E+00   3.649536E-04   4.483796E-02  -1.203693E+00  -3.729665E+00  -4.408524E+00  -5.083978E+00  -3.179034E+00   3.428718E-02  -2.402465E+00
   4.397151E+03   4.479195E+03   1.810129E+00   0.000000E+00    8.657433E+00   3.443712E-04   3.797679E-02  -1.170291E+00  -3.667932E+00  -4.339292E+00  -5.006397E+00  -3.123580E+00   3.332809E-02  -2.355460E+00
   4.810905E+03   4.499190E+03   1.840233E+00   0.000000E+00    8.713301E+00   3.270993E-04   3.195331E-02  -1.139776E+00  -3.612949E+00  -4.277924E+00  -4.938052E+00  -3.073988E+00   3.393929E-02  -2.313084E+00
   5.284651E+03   4.520466E+03   1.871701E+00   0.000000E+00    8.771428E+00   3.100478E-04   2.566362E-02  -1.108100E+00  -3.555628E+00  -4.213863E+00  -4.866650E+00  -3.022351E+00   3.496633E-02  -2.269029E+00
   5.853146E+03   4.543362E+03   1.905885E+00   0.000000E+00    8.834924E+00   2.924358E-04   1.884612E-02  -1.072170E+00  -3.492943E+00  -4.143992E+00  -4.788918E+00  -2.965616E+00   4.025348E-02  -2.220289E+00
   6.456358E+03   4.565771E+03   1.938727E+00   0.000000E+00    8.895662E+00   2.765255E-04   1.233587E-02  -1.037577E+00  -3.432935E+00  -4.077020E+00  -4.714272E+00  -2.911281E+00   4.680699E-02  -2.173630E+00
   7.033671E+03   4.585020E+03   1.967430E+00   0.000000E+00    8.949162E+00   2.632298E-04   6.765646E-03  -1.006034E+00  -3.379981E+00  -4.018147E+00  -4.648873E+00  -2.863084E+00   5.508787E-02  -2.131924E+00
   7.699271E+03   4.605908E+03   1.997625E+00   0.000000E+00    9.004929E+00   2.500509E-04   2.326610E-03  -9.735769E-01  -3.324722E+00  -3.956535E+00  -4.580205E+00  -2.812882E+00   6.299107E-02  -2.088665E+00
